ID;edad;trabajo;estado_civil;educacion;deuda;saldo;vivienda;prestamo;tipo_contacto;duracion;fecha_contacto;campaign;tiempo_transcurrido;contactos_anteriores;resultado_campanas_anteriores;target
1;40;blue-collar;casado;secundaria/superiores;no;580;si;no;;192;16-may-2021;1;-1;0;;no
2;47;services;soltero;secundaria/superiores;no;3644;no;no;;83;9-jun-2021;2;-1;0;;no
3;25;student;soltero;universitarios;no;538;si;no;movil;226;20-apr-2021;1;-1;0;;no
4;42;management;casado;universitarios;no;1773;no;no;movil;311;9-apr-2021;1;336;1;sin_exito;no
5;56;management;casado;universitarios;no;217;no;si;movil;121;21-jul-2021;2;-1;0;;no
6;28;blue-collar;casado;secundaria/superiores;no;1134;no;no;movil;130;9-feb-2021;3;-1;0;;no
7;24;management;soltero;universitarios;no;1085;no;si;movil;95;7-may-2021;6;-1;0;;no
8;37;admin.;soltero;secundaria/superiores;no;127;no;no;movil;83;23-mar-2021;4;-1;0;;no
9;30;blue-collar;soltero;secundaria/superiores;no;3;si;no;movil;51;25-jul-2021;1;-1;0;;no
10;38;technician;soltero;secundaria/superiores;no;258;no;si;;587;20-jun-2021;2;-1;0;;no
11;33;blue-collar;soltero;secundaria/superiores;no;498;no;no;movil;301;30-apr-2021;1;-1;0;;si
12;48;blue-collar;divorciado;secundaria/superiores;no;65;si;no;movil;146;14-may-2021;1;370;1;sin_exito;no
13;30;blue-collar;soltero;secundaria/superiores;no;18;no;no;;395;9-may-2021;1;-1;0;;no
14;31;management;divorciado;universitarios;no;883;si;no;movil;112;5-mar-2021;2;106;1;sin_exito;si
15;30;management;soltero;universitarios;no;640;no;no;movil;124;6-feb-2021;4;213;2;sin_exito;no
16;30;management;soltero;universitarios;no;536;no;no;movil;244;15-oct-2021;1;105;1;exito;si
17;35;blue-collar;casado;secundaria/superiores;no;247;si;si;movil;114;13-may-2021;1;352;5;sin_exito;no
18;31;management;soltero;universitarios;no;518;si;no;movil;399;18-may-2021;1;-1;0;;no
19;46;blue-collar;casado;secundaria/superiores;no;0;si;no;;172;23-may-2021;3;-1;0;;no
20;33;management;soltero;universitarios;no;5437;no;no;movil;267;4-may-2021;1;91;1;sin_exito;si
21;49;self-employed;divorciado;secundaria/superiores;no;-478;si;si;movil;291;20-nov-2021;1;-1;0;;no
22;35;management;casado;universitarios;no;991;si;no;movil;1489;6-may-2021;3;-1;0;;si
23;43;blue-collar;casado;secundaria/superiores;no;-755;si;si;movil;162;5-may-2021;1;337;1;sin_exito;no
24;44;blue-collar;divorciado;secundaria/superiores;no;-239;si;no;;111;27-may-2021;3;-1;0;;no
25;33;entrepreneur;soltero;universitarios;no;3017;no;no;movil;240;21-nov-2021;3;-1;0;;no
26;33;services;casado;secundaria/superiores;no;184;si;no;;109;13-may-2021;4;-1;0;;no
27;23;student;soltero;secundaria/superiores;no;431;no;no;movil;496;13-aug-2021;2;-1;0;;si
28;47;blue-collar;casado;priamaria;no;699;no;no;movil;203;5-aug-2021;1;-1;0;;no
29;60;technician;casado;secundaria/superiores;no;914;no;no;;64;4-aug-2021;1;-1;0;;no
30;51;blue-collar;casado;universitarios;no;7816;si;no;;76;12-may-2021;2;-1;0;;no
31;56;retired;casado;secundaria/superiores;no;728;no;no;movil;163;18-nov-2021;2;110;15;sin_exito;no
32;59;management;casado;;no;3428;si;si;movil;103;19-nov-2021;1;-1;0;;no
33;49;management;casado;universitarios;no;223;no;no;movil;22;28-aug-2021;22;-1;0;;no
34;49;admin.;casado;secundaria/superiores;no;2254;no;no;movil;77;5-aug-2021;1;-1;0;;no
35;56;technician;casado;secundaria/superiores;no;589;si;no;movil;208;18-nov-2021;1;26;3;exito;no
36;38;technician;casado;secundaria/superiores;no;79;si;no;movil;209;20-aug-2021;2;-1;0;;no
37;46;blue-collar;casado;secundaria/superiores;no;78;si;si;;145;7-may-2021;1;-1;0;;no
38;58;technician;soltero;secundaria/superiores;no;409;no;si;movil;643;14-jul-2021;2;-1;0;;no
39;36;entrepreneur;casado;secundaria/superiores;no;352;si;no;;139;21-may-2021;2;-1;0;;no
40;29;blue-collar;casado;secundaria/superiores;no;-312;si;si;movil;130;14-may-2021;2;-1;0;;no
41;39;blue-collar;casado;secundaria/superiores;no;1044;si;no;movil;158;2-feb-2021;1;-1;0;;no
42;36;management;soltero;universitarios;no;227;no;si;movil;336;7-aug-2021;4;-1;0;;no
43;37;admin.;casado;secundaria/superiores;no;1967;no;no;fijo;376;27-oct-2021;1;-1;0;;si
44;44;entrepreneur;casado;priamaria;no;650;si;no;movil;142;6-may-2021;2;-1;0;;no
45;34;blue-collar;casado;priamaria;no;1309;si;no;movil;456;12-may-2021;2;364;1;sin_exito;no
46;51;admin.;divorciado;secundaria/superiores;no;115;si;si;;136;8-may-2021;1;-1;0;;no
47;27;technician;soltero;secundaria/superiores;no;337;no;no;;23;9-jul-2021;1;-1;0;;si
48;49;technician;divorciado;universitarios;no;874;si;no;;152;16-may-2021;2;-1;0;;no
49;65;retired;casado;;no;679;no;no;movil;593;13-may-2021;2;178;1;exito;no
50;36;services;casado;secundaria/superiores;no;8114;si;no;;505;6-jun-2021;1;-1;0;;no
51;32;management;soltero;secundaria/superiores;no;453;si;no;movil;544;2-feb-2021;1;269;2;sin_exito;no
52;56;management;casado;universitarios;no;0;si;no;fijo;259;5-may-2021;2;-1;0;;no
53;28;blue-collar;casado;secundaria/superiores;no;258;si;no;movil;134;24-jul-2021;1;-1;0;;no
54;59;management;casado;universitarios;no;2540;no;no;movil;1432;16-jul-2021;5;-1;0;;no
55;28;blue-collar;casado;secundaria/superiores;no;196;si;no;;176;26-jun-2021;7;-1;0;;no
56;33;unemployed;soltero;universitarios;no;14889;si;no;movil;22;3-feb-2021;3;-1;0;;no
57;44;management;casado;universitarios;no;0;no;no;movil;54;8-jul-2021;2;-1;0;;no
58;39;housemaid;soltero;priamaria;no;1340;no;no;;113;18-jun-2021;2;-1;0;;no
59;33;management;casado;universitarios;no;1323;no;no;movil;327;1-jun-2021;1;-1;0;;si
60;60;unknown;casado;priamaria;no;4722;no;no;;459;20-jun-2021;3;-1;0;;no
61;34;services;soltero;secundaria/superiores;no;267;no;no;movil;449;8-jul-2021;2;-1;0;;si
62;33;blue-collar;divorciado;priamaria;no;60;no;no;;131;9-may-2021;1;-1;0;;no
63;39;management;divorciado;universitarios;no;355;si;no;movil;313;25-aug-2021;5;-1;0;;no
64;31;blue-collar;divorciado;secundaria/superiores;no;-452;si;no;;182;26-may-2021;5;-1;0;;no
65;38;management;casado;secundaria/superiores;no;93;no;no;;515;3-jul-2021;2;-1;0;;no
66;32;blue-collar;casado;secundaria/superiores;no;10142;si;no;movil;249;20-nov-2021;1;-1;0;;no
67;24;student;soltero;secundaria/superiores;no;82;si;no;;204;5-may-2021;2;-1;0;;no
68;40;self-employed;casado;secundaria/superiores;no;1270;si;no;movil;1049;8-may-2021;2;-1;0;;no
69;47;technician;soltero;secundaria/superiores;no;80;si;no;movil;169;16-jul-2021;5;-1;0;;no
70;37;admin.;soltero;secundaria/superiores;no;-17;si;no;movil;400;11-may-2021;2;340;2;sin_exito;no
71;57;management;casado;universitarios;no;113;no;no;movil;191;3-feb-2021;2;-1;0;;no
72;44;admin.;casado;secundaria/superiores;no;447;si;si;;106;14-may-2021;5;-1;0;;no
73;31;technician;soltero;secundaria/superiores;no;-348;si;no;movil;410;18-may-2021;1;-1;0;;no
74;29;admin.;casado;universitarios;no;238;no;no;movil;79;26-feb-2021;1;-1;0;;no
75;60;blue-collar;divorciado;priamaria;no;7601;si;no;;285;8-may-2021;1;-1;0;;no
76;55;technician;casado;secundaria/superiores;no;-14;si;no;movil;82;12-may-2021;4;-1;0;;no
77;50;unemployed;casado;priamaria;no;210;no;no;;247;16-jun-2021;2;-1;0;;no
78;26;services;soltero;secundaria/superiores;no;1163;no;si;movil;239;28-jul-2021;4;-1;0;;no
79;28;management;soltero;universitarios;no;492;no;no;movil;281;2-jul-2021;1;-1;0;;no
80;41;admin.;casado;secundaria/superiores;no;2661;si;no;fijo;258;24-jul-2021;1;-1;0;;no
81;33;unknown;soltero;;no;1;no;no;;198;5-may-2021;1;-1;0;;no
82;37;technician;casado;secundaria/superiores;no;123;si;si;;530;6-may-2021;2;-1;0;;no
83;53;housemaid;casado;priamaria;no;104;no;si;;701;5-jun-2021;1;-1;0;;si
84;45;self-employed;casado;universitarios;no;-312;no;no;fijo;46;18-nov-2021;4;-1;0;;no
85;61;technician;casado;priamaria;no;2282;no;no;movil;1092;25-nov-2021;1;-1;0;;no
86;48;management;casado;;no;375;no;no;movil;290;28-jan-2021;3;-1;0;;no
87;29;technician;soltero;secundaria/superiores;no;1165;no;no;movil;245;2-jun-2021;1;-1;0;;si
88;34;technician;casado;secundaria/superiores;si;91;no;no;movil;67;29-aug-2021;4;-1;0;;no
89;35;self-employed;casado;secundaria/superiores;no;188;si;si;;1865;5-jun-2021;2;-1;0;;si
90;43;services;casado;secundaria/superiores;no;861;si;no;;78;9-jun-2021;1;-1;0;;no
91;30;services;casado;secundaria/superiores;no;249;si;no;movil;294;17-apr-2021;1;275;2;sin_exito;no
92;58;retired;casado;secundaria/superiores;no;413;no;no;movil;104;27-aug-2021;5;-1;0;;no
93;54;self-employed;casado;;no;204;no;no;movil;231;27-aug-2021;5;-1;0;;no
94;27;admin.;soltero;secundaria/superiores;no;1492;si;no;;67;23-may-2021;13;-1;0;;no
95;45;management;casado;universitarios;no;3857;si;no;movil;425;11-aug-2021;2;190;1;sin_exito;no
96;50;technician;casado;universitarios;no;329;no;no;movil;329;19-aug-2021;4;-1;0;;no
97;49;admin.;casado;secundaria/superiores;no;326;si;no;;99;7-may-2021;2;-1;0;;no
